,iterations,dimacs,runtime,solution
0,26,n_5_m_10,0.0001,"[False,False,False,False,False]"
1,26,n_5_m_11,0.0215,0
2,26,n_5_m_12,0.0001,"[True,True,False,True,True]"
3,26,n_5_m_13,0.0176,0
4,26,n_5_m_14,0.0001,"[True,True,True,True,False]"
5,26,n_5_m_15,0.0001,"[True,True,False,True,False]"
6,26,n_5_m_16,0.0001,"[False,True,True,False,True]"
7,26,n_5_m_17,0.0178,0
8,26,n_5_m_18,0.0181,0
9,26,n_5_m_19,0.0176,0
10,26,n_5_m_20,0.019,0
11,26,n_5_m_21,0.0001,"[True,False,True,False,True]"
12,26,n_5_m_22,0.0191,0
13,26,n_5_m_23,0.0184,"[False,True,False,True,False]"
14,26,n_5_m_24,0.0186,0
15,26,n_5_m_10,0.0001,"[False,False,True,False,False]"
16,26,n_5_m_11,0.0001,"[False,False,False,False,True]"
17,26,n_5_m_12,0.0182,"[False,True,False,True,True]"
18,26,n_5_m_13,0.018000000000000002,0
19,26,n_5_m_14,0.0001,"[True,False,False,False,False]"
20,26,n_5_m_15,0.0001,"[False,False,True,False,False]"
21,26,n_5_m_16,0.0184,0
22,26,n_5_m_17,0.0206,0
23,26,n_5_m_18,0.019,0
24,26,n_5_m_19,0.0001,"[False,True,True,False,True]"
25,26,n_5_m_20,0.0181,0
26,26,n_5_m_21,0.0001,"[True,True,False,False,True]"
27,26,n_5_m_22,0.018000000000000002,0
28,26,n_5_m_23,0.0184,0
29,26,n_5_m_24,0.0199,0
30,26,n_5_m_10,0.0172,0
31,26,n_5_m_11,0.0173,"[True,False,False,False,True]"
32,26,n_5_m_12,0.018000000000000002,0
33,26,n_5_m_13,0.0175,0
34,26,n_5_m_14,0.0175,0
35,26,n_5_m_15,0.0172,0
36,26,n_5_m_16,0.0001,"[True,True,True,True,False]"
37,26,n_5_m_17,0.0169,0
38,26,n_5_m_18,0.0001,"[False,False,True,False,False]"
39,26,n_5_m_19,0.0193,0
40,26,n_5_m_20,0.0181,0
41,26,n_5_m_21,0.0175,0
42,26,n_5_m_22,0.0179,0
43,26,n_5_m_23,0.0214,0
44,26,n_5_m_24,0.0225,0
45,26,n_5_m_10,0.0001,"[False,True,True,False,False]"
46,26,n_5_m_11,0.0001,"[True,True,False,True,True]"
47,26,n_5_m_12,0.0183,0
48,26,n_5_m_13,0.0182,0
49,26,n_5_m_14,0.017,0
50,26,n_5_m_15,0.0001,"[False,True,False,True,True]"
51,26,n_5_m_16,0.0001,"[True,False,True,True,False]"
52,26,n_5_m_17,0.0001,"[True,False,True,False,True]"
53,26,n_5_m_18,0.0001,"[True,True,True,True,False]"
54,26,n_5_m_19,0.0176,0
55,26,n_5_m_20,0.0174,0
56,26,n_5_m_21,0.0178,0
57,26,n_5_m_22,0.0177,0
58,26,n_5_m_23,0.0001,"[True,False,True,False,False]"
59,26,n_5_m_24,0.0173,0
60,26,n_5_m_10,0.0169,0
61,26,n_5_m_11,0.0001,"[False,True,True,False,True]"
62,26,n_5_m_12,0.0179,"[False,True,False,False,True]"
63,26,n_5_m_13,0.0001,"[False,True,True,True,True]"
64,26,n_5_m_14,0.0001,"[True,False,True,False,False]"
65,26,n_5_m_15,0.0175,0
66,26,n_5_m_16,0.0174,0
67,26,n_5_m_17,0.0174,0
68,26,n_5_m_18,0.0165,0
69,26,n_5_m_19,0.0001,"[False,True,False,True,True]"
70,26,n_5_m_20,0.0001,"[True,True,False,True,True]"
71,26,n_5_m_21,0.0001,"[False,True,True,True,True]"
72,26,n_5_m_22,0.0177,0
73,26,n_5_m_23,0.0181,0
74,26,n_5_m_24,0.0188,0
75,26,n_5_m_10,0.0192,"[True,True,True,False,False]"
76,26,n_5_m_11,0.0001,"[True,False,True,True,True]"
77,26,n_5_m_12,0.0178,0
78,26,n_5_m_13,0.0196,0
79,26,n_5_m_14,0.0001,"[True,True,True,True,True]"
80,26,n_5_m_15,0.0001,"[False,True,False,True,False]"
81,26,n_5_m_16,0.0182,0
82,26,n_5_m_17,0.0001,"[False,False,True,False,True]"
83,26,n_5_m_18,0.017,0
84,26,n_5_m_19,0.0176,0
85,26,n_5_m_20,0.0191,0
86,26,n_5_m_21,0.0194,0
87,26,n_5_m_22,0.0174,0
88,26,n_5_m_23,0.0001,"[True,False,False,False,False]"
89,26,n_5_m_24,0.0221,0
90,26,n_5_m_10,0.0185,"[False,True,True,True,True]"
91,26,n_5_m_11,0.0187,0
92,26,n_5_m_12,0.0173,0
93,26,n_5_m_13,0.0001,"[False,True,True,False,True]"
94,26,n_5_m_14,0.0001,"[False,True,False,True,False]"
95,26,n_5_m_15,0.0196,0
96,26,n_5_m_16,0.021,0
97,26,n_5_m_17,0.0001,"[False,True,True,False,False]"
98,26,n_5_m_18,0.0181,0
99,26,n_5_m_19,0.0174,0
100,26,n_5_m_20,0.0176,0
101,26,n_5_m_21,0.0182,0
102,26,n_5_m_22,0.0191,0
103,26,n_5_m_23,0.019,0
104,26,n_5_m_24,0.0206,0
105,26,n_5_m_10,0.0181,0
106,26,n_5_m_11,0.0001,"[False,True,False,False,False]"
107,26,n_5_m_12,0.0001,"[True,True,True,True,True]"
108,26,n_5_m_13,0.0001,"[True,True,True,False,False]"
109,26,n_5_m_14,0.0181,0
110,26,n_5_m_15,0.0171,0
111,26,n_5_m_16,0.0178,0
112,26,n_5_m_17,0.0001,"[False,True,True,False,False]"
113,26,n_5_m_18,0.0001,"[False,False,False,False,False]"
114,26,n_5_m_19,0.0001,"[False,False,False,True,False]"
115,26,n_5_m_20,0.0187,0
116,26,n_5_m_21,0.0182,"[True,False,False,False,False]"
117,26,n_5_m_22,0.018000000000000002,0
118,26,n_5_m_23,0.017,0
119,26,n_5_m_24,0.0181,0
120,26,n_5_m_10,0.0172,"[False,False,True,False,False]"
121,26,n_5_m_11,0.0185,0
122,26,n_5_m_12,0.018000000000000002,0
123,26,n_5_m_13,0.0173,0
124,26,n_5_m_14,0.0176,0
125,26,n_5_m_15,0.0173,0
126,26,n_5_m_16,0.023,0
127,26,n_5_m_17,0.0183,0
128,26,n_5_m_18,0.0177,0
129,26,n_5_m_19,0.0001,"[True,False,False,True,True]"
130,26,n_5_m_20,0.0001,"[True,True,False,False,False]"
131,26,n_5_m_21,0.0176,0
132,26,n_5_m_22,0.0175,0
133,26,n_5_m_23,0.019,0
134,26,n_5_m_24,0.018000000000000002,0
135,26,n_5_m_10,0.0179,"[True,True,True,False,False]"
136,26,n_5_m_11,0.0001,"[True,True,True,False,True]"
137,26,n_5_m_12,0.0001,"[True,True,False,False,False]"
138,26,n_5_m_13,0.0171,0
139,26,n_5_m_14,0.0173,0
140,26,n_5_m_15,0.0197,0
141,26,n_5_m_16,0.018000000000000002,0
142,26,n_5_m_17,0.0181,0
143,26,n_5_m_18,0.0176,0
144,26,n_5_m_19,0.0177,0
145,26,n_5_m_20,0.0191,0
146,26,n_5_m_21,0.0176,0
147,26,n_5_m_22,0.0188,0
148,26,n_5_m_23,0.0185,0
149,26,n_5_m_24,0.0178,0
150,50,n_5_m_10,0.0001,"[False,True,False,False,False]"
151,50,n_5_m_11,0.0192,0
152,50,n_5_m_12,0.0001,"[True,True,False,True,True]"
153,50,n_5_m_13,0.0001,"[True,True,False,True,True]"
154,50,n_5_m_14,0.0001,"[True,True,True,True,False]"
155,50,n_5_m_15,0.0001,"[True,True,False,True,False]"
156,50,n_5_m_16,0.0001,"[False,True,True,False,True]"
157,50,n_5_m_17,0.0181,0
158,50,n_5_m_18,0.0175,0
159,50,n_5_m_19,0.0166,0
160,50,n_5_m_20,0.0183,0
161,50,n_5_m_21,0.0001,"[True,False,True,False,True]"
162,50,n_5_m_22,0.0178,0
163,50,n_5_m_23,0.0177,"[False,True,False,True,False]"
164,50,n_5_m_24,0.0168,0
165,50,n_5_m_10,0.0001,"[False,False,True,True,False]"
166,50,n_5_m_11,0.0001,"[False,False,False,False,True]"
167,50,n_5_m_12,0.0001,"[False,False,False,True,True]"
168,50,n_5_m_13,0.0178,0
169,50,n_5_m_14,0.0001,"[True,False,False,False,False]"
170,50,n_5_m_15,0.0001,"[False,False,True,False,False]"
171,50,n_5_m_16,0.0168,0
172,50,n_5_m_17,0.0209,0
173,50,n_5_m_18,0.0226,0
174,50,n_5_m_19,0.0212,"[False,True,True,False,True]"
175,50,n_5_m_20,0.0178,0
176,50,n_5_m_21,0.0187,0
177,50,n_5_m_22,0.0176,0
178,50,n_5_m_23,0.0173,0
179,50,n_5_m_24,0.0208,0
180,50,n_5_m_10,0.0185,0
181,50,n_5_m_11,0.0178,"[True,False,False,False,True]"
182,50,n_5_m_12,0.0182,0
183,50,n_5_m_13,0.0174,0
184,50,n_5_m_14,0.0172,0
185,50,n_5_m_15,0.0174,0
186,50,n_5_m_16,0.0001,"[True,True,True,True,False]"
187,50,n_5_m_17,0.019,0
188,50,n_5_m_18,0.0001,"[False,False,True,False,False]"
189,50,n_5_m_19,0.0177,0
190,50,n_5_m_20,0.0176,0
191,50,n_5_m_21,0.0182,0
192,50,n_5_m_22,0.0179,0
193,50,n_5_m_23,0.0202,0
194,50,n_5_m_24,0.0177,0
195,50,n_5_m_10,0.0174,"[False,True,False,True,True]"
196,50,n_5_m_11,0.0167,"[True,True,False,False,True]"
197,50,n_5_m_12,0.0185,0
198,50,n_5_m_13,0.0177,0
199,50,n_5_m_14,0.0178,0
200,50,n_5_m_15,0.0001,"[False,True,False,True,True]"
201,50,n_5_m_16,0.0001,"[True,False,True,True,False]"
202,50,n_5_m_17,0.0001,"[True,False,True,False,True]"
203,50,n_5_m_18,0.0001,"[True,True,True,True,False]"
204,50,n_5_m_19,0.0173,0
205,50,n_5_m_20,0.0177,0
206,50,n_5_m_21,0.0174,0
207,50,n_5_m_22,0.0179,0
208,50,n_5_m_23,0.0001,"[True,False,True,False,False]"
209,50,n_5_m_24,0.017,0
210,50,n_5_m_10,0.018000000000000002,0
211,50,n_5_m_11,0.0001,"[False,True,False,False,False]"
212,50,n_5_m_12,0.0174,0
213,50,n_5_m_13,0.0177,"[False,True,True,True,True]"
214,50,n_5_m_14,0.0001,"[True,False,True,False,False]"
215,50,n_5_m_15,0.018000000000000002,0
216,50,n_5_m_16,0.0197,0
217,50,n_5_m_17,0.0171,0
218,50,n_5_m_18,0.0172,"[True,False,False,True,True]"
219,50,n_5_m_19,0.0001,"[False,True,False,True,True]"
220,50,n_5_m_20,0.0001,"[True,True,False,True,True]"
221,50,n_5_m_21,0.0184,0
222,50,n_5_m_22,0.0174,0
223,50,n_5_m_23,0.0176,0
224,50,n_5_m_24,0.0185,0
225,50,n_5_m_10,0.0192,"[True,True,True,False,False]"
226,50,n_5_m_11,0.0001,"[False,True,False,False,True]"
227,50,n_5_m_12,0.0001,"[False,False,True,False,False]"
228,50,n_5_m_13,0.0177,0
229,50,n_5_m_14,0.0177,"[True,True,True,True,True]"
230,50,n_5_m_15,0.0002,"[False,True,False,True,False]"
231,50,n_5_m_16,0.0194,0
232,50,n_5_m_17,0.0001,"[False,False,True,False,True]"
233,50,n_5_m_18,0.0178,0
234,50,n_5_m_19,0.0174,0
235,50,n_5_m_20,0.0211,0
236,50,n_5_m_21,0.0188,0
237,50,n_5_m_22,0.0178,0
238,50,n_5_m_23,0.0001,"[True,False,False,False,False]"
239,50,n_5_m_24,0.0199,0
240,50,n_5_m_10,0.019,"[False,True,True,True,True]"
241,50,n_5_m_11,0.0001,"[False,True,False,True,True]"
242,50,n_5_m_12,0.0175,0
243,50,n_5_m_13,0.0001,"[False,True,True,False,True]"
244,50,n_5_m_14,0.0001,"[False,False,False,True,False]"
245,50,n_5_m_15,0.0181,0
246,50,n_5_m_16,0.0196,0
247,50,n_5_m_17,0.0001,"[False,True,True,False,False]"
248,50,n_5_m_18,0.0177,0
249,50,n_5_m_19,0.0243,0
250,50,n_5_m_20,0.018000000000000002,0
251,50,n_5_m_21,0.0178,0
252,50,n_5_m_22,0.017,0
253,50,n_5_m_23,0.0179,0
254,50,n_5_m_24,0.0175,0
255,50,n_5_m_10,0.0169,0
256,50,n_5_m_11,0.0001,"[False,True,False,False,False]"
257,50,n_5_m_12,0.0187,"[True,True,True,True,True]"
258,50,n_5_m_13,0.0001,"[True,True,True,False,False]"
259,50,n_5_m_14,0.0173,0
260,50,n_5_m_15,0.0168,"[True,False,False,True,True]"
261,50,n_5_m_16,0.0176,0
262,50,n_5_m_17,0.0001,"[False,True,True,False,False]"
263,50,n_5_m_18,0.0001,"[False,False,False,False,False]"
264,50,n_5_m_19,0.0001,"[False,False,False,True,False]"
265,50,n_5_m_20,0.0189,0
266,50,n_5_m_21,0.0187,"[True,False,False,False,False]"
267,50,n_5_m_22,0.0189,0
268,50,n_5_m_23,0.0182,0
269,50,n_5_m_24,0.0184,0
270,50,n_5_m_10,0.0193,"[False,False,True,False,False]"
271,50,n_5_m_11,0.0194,0
272,50,n_5_m_12,0.0179,0
273,50,n_5_m_13,0.0001,"[True,False,True,True,False]"
274,50,n_5_m_14,0.0001,"[True,False,False,False,False]"
275,50,n_5_m_15,0.018000000000000002,0
276,50,n_5_m_16,0.0187,0
277,50,n_5_m_17,0.018000000000000002,0
278,50,n_5_m_18,0.0177,0
279,50,n_5_m_19,0.0001,"[True,False,False,True,True]"
280,50,n_5_m_20,0.0001,"[True,True,False,False,False]"
281,50,n_5_m_21,0.0177,0
282,50,n_5_m_22,0.0172,0
283,50,n_5_m_23,0.0215,0
284,50,n_5_m_24,0.0185,0
285,50,n_5_m_10,0.0183,"[True,True,True,False,False]"
286,50,n_5_m_11,0.0001,"[True,True,True,False,True]"
287,50,n_5_m_12,0.0185,"[False,True,False,False,False]"
288,50,n_5_m_13,0.0179,0
289,50,n_5_m_14,0.0184,0
290,50,n_5_m_15,0.0176,0
291,50,n_5_m_16,0.0189,0
292,50,n_5_m_17,0.0189,0
293,50,n_5_m_18,0.018000000000000002,0
294,50,n_5_m_19,0.0182,0
295,50,n_5_m_20,0.0172,0
296,50,n_5_m_21,0.0178,0
297,50,n_5_m_22,0.0181,0
298,50,n_5_m_23,0.0182,0
299,50,n_5_m_24,0.0178,0
300,100,n_5_m_10,0.0002,"[False,True,False,False,False]"
301,100,n_5_m_11,0.0199,0
302,100,n_5_m_12,0.0001,"[True,True,False,True,True]"
303,100,n_5_m_13,0.0001,"[True,True,False,True,True]"
304,100,n_5_m_14,0.0001,"[True,True,True,True,False]"
305,100,n_5_m_15,0.0001,"[True,True,False,True,False]"
306,100,n_5_m_16,0.0001,"[False,True,True,False,True]"
307,100,n_5_m_17,0.0183,0
308,100,n_5_m_18,0.0178,0
309,100,n_5_m_19,0.0185,0
310,100,n_5_m_20,0.0182,0
311,100,n_5_m_21,0.0001,"[True,False,True,False,True]"
312,100,n_5_m_22,0.0183,0
313,100,n_5_m_23,0.0173,"[False,True,False,True,False]"
314,100,n_5_m_24,0.0174,0
315,100,n_5_m_10,0.0001,"[False,False,True,True,False]"
316,100,n_5_m_11,0.0001,"[False,False,False,False,True]"
317,100,n_5_m_12,0.0001,"[False,False,False,True,True]"
318,100,n_5_m_13,0.0178,0
319,100,n_5_m_14,0.0001,"[True,False,False,False,False]"
320,100,n_5_m_15,0.0001,"[False,False,True,False,False]"
321,100,n_5_m_16,0.0175,0
322,100,n_5_m_17,0.0194,0
323,100,n_5_m_18,0.0174,0
324,100,n_5_m_19,0.017,"[False,True,True,False,True]"
325,100,n_5_m_20,0.0173,0
326,100,n_5_m_21,0.018000000000000002,0
327,100,n_5_m_22,0.0175,0
328,100,n_5_m_23,0.0171,0
329,100,n_5_m_24,0.0195,0
330,100,n_5_m_10,0.0189,0
331,100,n_5_m_11,0.0174,"[True,False,False,False,True]"
332,100,n_5_m_12,0.0001,"[False,True,False,True,True]"
333,100,n_5_m_13,0.0169,0
334,100,n_5_m_14,0.0172,0
335,100,n_5_m_15,0.0171,0
336,100,n_5_m_16,0.0001,"[True,True,True,True,False]"
337,100,n_5_m_17,0.0186,0
338,100,n_5_m_18,0.0001,"[False,False,True,False,False]"
339,100,n_5_m_19,0.018000000000000002,0
340,100,n_5_m_20,0.0207,0
341,100,n_5_m_21,0.0204,0
342,100,n_5_m_22,0.0174,0
343,100,n_5_m_23,0.0194,0
344,100,n_5_m_24,0.0175,0
345,100,n_5_m_10,0.0173,"[False,True,False,True,True]"
346,100,n_5_m_11,0.017,"[True,True,False,False,True]"
347,100,n_5_m_12,0.0171,0
348,100,n_5_m_13,0.0179,0
349,100,n_5_m_14,0.0166,0
350,100,n_5_m_15,0.0001,"[False,True,False,True,True]"
351,100,n_5_m_16,0.0001,"[True,False,True,True,False]"
352,100,n_5_m_17,0.0001,"[True,False,False,False,True]"
353,100,n_5_m_18,0.0001,"[True,True,True,True,False]"
354,100,n_5_m_19,0.0173,0
355,100,n_5_m_20,0.017,0
356,100,n_5_m_21,0.0172,0
357,100,n_5_m_22,0.0171,0
358,100,n_5_m_23,0.0001,"[True,False,True,False,False]"
359,100,n_5_m_24,0.0172,0
360,100,n_5_m_10,0.0001,"[True,True,True,True,False]"
361,100,n_5_m_11,0.0001,"[False,True,False,False,False]"
362,100,n_5_m_12,0.0172,0
363,100,n_5_m_13,0.0171,"[False,True,True,True,True]"
364,100,n_5_m_14,0.0001,"[True,False,True,False,False]"
365,100,n_5_m_15,0.0171,0
366,100,n_5_m_16,0.0195,0
367,100,n_5_m_17,0.017,0
368,100,n_5_m_18,0.0184,"[True,False,False,True,True]"
369,100,n_5_m_19,0.0001,"[False,True,False,True,True]"
370,100,n_5_m_20,0.0001,"[True,True,False,True,True]"
371,100,n_5_m_21,0.0188,0
372,100,n_5_m_22,0.0177,0
373,100,n_5_m_23,0.0172,0
374,100,n_5_m_24,0.0194,0
375,100,n_5_m_10,0.019,"[True,True,True,False,False]"
376,100,n_5_m_11,0.0001,"[False,True,False,False,True]"
