iterations,dimacs,runtime,solution,,,,
26,[0_k_3_n_5_m_10.dimacs],0.0001,"[False,","False,","False,","False,",False]
26,[0_k_3_n_5_m_11.dimacs],0.0215,None,,,,
26,[0_k_3_n_5_m_12.dimacs],0.0001,"[True,","True,","False,","True,",True]
26,[0_k_3_n_5_m_13.dimacs],0.0176,None,,,,
26,[0_k_3_n_5_m_14.dimacs],0.0001,"[True,","True,","True,","True,",False]
26,[0_k_3_n_5_m_15.dimacs],0.0001,"[True,","True,","False,","True,",False]
26,[0_k_3_n_5_m_16.dimacs],0.0001,"[False,","True,","True,","False,",True]
26,[0_k_3_n_5_m_17.dimacs],0.0178,None,,,,
26,[0_k_3_n_5_m_18.dimacs],0.0181,None,,,,
26,[0_k_3_n_5_m_19.dimacs],0.0176,None,,,,
26,[0_k_3_n_5_m_20.dimacs],0.019,None,,,,
26,[0_k_3_n_5_m_21.dimacs],0.0001,"[True,","False,","True,","False,",True]
26,[0_k_3_n_5_m_22.dimacs],0.0191,None,,,,
26,[0_k_3_n_5_m_23.dimacs],0.0184,"[False,","True,","False,","True,",False]
26,[0_k_3_n_5_m_24.dimacs],0.0186,None,,,,
26,[1_k_3_n_5_m_10.dimacs],0.0001,"[False,","False,","True,","False,",False]
26,[1_k_3_n_5_m_11.dimacs],0.0001,"[False,","False,","False,","False,",True]
26,[1_k_3_n_5_m_12.dimacs],0.0182,"[False,","True,","False,","True,",True]
26,[1_k_3_n_5_m_13.dimacs],0.018,None,,,,
26,[1_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","False,","False,",False]
26,[1_k_3_n_5_m_15.dimacs],0.0001,"[False,","False,","True,","False,",False]
26,[1_k_3_n_5_m_16.dimacs],0.0184,None,,,,
26,[1_k_3_n_5_m_17.dimacs],0.0206,None,,,,
26,[1_k_3_n_5_m_18.dimacs],0.019,None,,,,
26,[1_k_3_n_5_m_19.dimacs],0.0001,"[False,","True,","True,","False,",True]
26,[1_k_3_n_5_m_20.dimacs],0.0181,None,,,,
26,[1_k_3_n_5_m_21.dimacs],0.0001,"[True,","True,","False,","False,",True]
26,[1_k_3_n_5_m_22.dimacs],0.018,None,,,,
26,[1_k_3_n_5_m_23.dimacs],0.0184,None,,,,
26,[1_k_3_n_5_m_24.dimacs],0.0199,None,,,,
26,[2_k_3_n_5_m_10.dimacs],0.0172,None,,,,
26,[2_k_3_n_5_m_11.dimacs],0.0173,"[True,","False,","False,","False,",True]
26,[2_k_3_n_5_m_12.dimacs],0.018,None,,,,
26,[2_k_3_n_5_m_13.dimacs],0.0175,None,,,,
26,[2_k_3_n_5_m_14.dimacs],0.0175,None,,,,
26,[2_k_3_n_5_m_15.dimacs],0.0172,None,,,,
26,[2_k_3_n_5_m_16.dimacs],0.0001,"[True,","True,","True,","True,",False]
26,[2_k_3_n_5_m_17.dimacs],0.0169,None,,,,
26,[2_k_3_n_5_m_18.dimacs],0.0001,"[False,","False,","True,","False,",False]
26,[2_k_3_n_5_m_19.dimacs],0.0193,None,,,,
26,[2_k_3_n_5_m_20.dimacs],0.0181,None,,,,
26,[2_k_3_n_5_m_21.dimacs],0.0175,None,,,,
26,[2_k_3_n_5_m_22.dimacs],0.0179,None,,,,
26,[2_k_3_n_5_m_23.dimacs],0.0214,None,,,,
26,[2_k_3_n_5_m_24.dimacs],0.0225,None,,,,
26,[3_k_3_n_5_m_10.dimacs],0.0001,"[False,","True,","True,","False,",False]
26,[3_k_3_n_5_m_11.dimacs],0.0001,"[True,","True,","False,","True,",True]
26,[3_k_3_n_5_m_12.dimacs],0.0183,None,,,,
26,[3_k_3_n_5_m_13.dimacs],0.0182,None,,,,
26,[3_k_3_n_5_m_14.dimacs],0.017,None,,,,
26,[3_k_3_n_5_m_15.dimacs],0.0001,"[False,","True,","False,","True,",True]
26,[3_k_3_n_5_m_16.dimacs],0.0001,"[True,","False,","True,","True,",False]
26,[3_k_3_n_5_m_17.dimacs],0.0001,"[True,","False,","True,","False,",True]
26,[3_k_3_n_5_m_18.dimacs],0.0001,"[True,","True,","True,","True,",False]
26,[3_k_3_n_5_m_19.dimacs],0.0176,None,,,,
26,[3_k_3_n_5_m_20.dimacs],0.0174,None,,,,
26,[3_k_3_n_5_m_21.dimacs],0.0178,None,,,,
26,[3_k_3_n_5_m_22.dimacs],0.0177,None,,,,
26,[3_k_3_n_5_m_23.dimacs],0.0001,"[True,","False,","True,","False,",False]
26,[3_k_3_n_5_m_24.dimacs],0.0173,None,,,,
26,[4_k_3_n_5_m_10.dimacs],0.0169,None,,,,
26,[4_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","True,","False,",True]
26,[4_k_3_n_5_m_12.dimacs],0.0179,"[False,","True,","False,","False,",True]
26,[4_k_3_n_5_m_13.dimacs],0.0001,"[False,","True,","True,","True,",True]
26,[4_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","True,","False,",False]
26,[4_k_3_n_5_m_15.dimacs],0.0175,None,,,,
26,[4_k_3_n_5_m_16.dimacs],0.0174,None,,,,
26,[4_k_3_n_5_m_17.dimacs],0.0174,None,,,,
26,[4_k_3_n_5_m_18.dimacs],0.0165,None,,,,
26,[4_k_3_n_5_m_19.dimacs],0.0001,"[False,","True,","False,","True,",True]
26,[4_k_3_n_5_m_20.dimacs],0.0001,"[True,","True,","False,","True,",True]
26,[4_k_3_n_5_m_21.dimacs],0.0001,"[False,","True,","True,","True,",True]
26,[4_k_3_n_5_m_22.dimacs],0.0177,None,,,,
26,[4_k_3_n_5_m_23.dimacs],0.0181,None,,,,
26,[4_k_3_n_5_m_24.dimacs],0.0188,None,,,,
26,[5_k_3_n_5_m_10.dimacs],0.0192,"[True,","True,","True,","False,",False]
26,[5_k_3_n_5_m_11.dimacs],0.0001,"[True,","False,","True,","True,",True]
26,[5_k_3_n_5_m_12.dimacs],0.0178,None,,,,
26,[5_k_3_n_5_m_13.dimacs],0.0196,None,,,,
26,[5_k_3_n_5_m_14.dimacs],0.0001,"[True,","True,","True,","True,",True]
26,[5_k_3_n_5_m_15.dimacs],0.0001,"[False,","True,","False,","True,",False]
26,[5_k_3_n_5_m_16.dimacs],0.0182,None,,,,
26,[5_k_3_n_5_m_17.dimacs],0.0001,"[False,","False,","True,","False,",True]
26,[5_k_3_n_5_m_18.dimacs],0.017,None,,,,
26,[5_k_3_n_5_m_19.dimacs],0.0176,None,,,,
26,[5_k_3_n_5_m_20.dimacs],0.0191,None,,,,
26,[5_k_3_n_5_m_21.dimacs],0.0194,None,,,,
26,[5_k_3_n_5_m_22.dimacs],0.0174,None,,,,
26,[5_k_3_n_5_m_23.dimacs],0.0001,"[True,","False,","False,","False,",False]
26,[5_k_3_n_5_m_24.dimacs],0.0221,None,,,,
26,[6_k_3_n_5_m_10.dimacs],0.0185,"[False,","True,","True,","True,",True]
26,[6_k_3_n_5_m_11.dimacs],0.0187,None,,,,
26,[6_k_3_n_5_m_12.dimacs],0.0173,None,,,,
26,[6_k_3_n_5_m_13.dimacs],0.0001,"[False,","True,","True,","False,",True]
26,[6_k_3_n_5_m_14.dimacs],0.0001,"[False,","True,","False,","True,",False]
26,[6_k_3_n_5_m_15.dimacs],0.0196,None,,,,
26,[6_k_3_n_5_m_16.dimacs],0.021,None,,,,
26,[6_k_3_n_5_m_17.dimacs],0.0001,"[False,","True,","True,","False,",False]
26,[6_k_3_n_5_m_18.dimacs],0.0181,None,,,,
26,[6_k_3_n_5_m_19.dimacs],0.0174,None,,,,
26,[6_k_3_n_5_m_20.dimacs],0.0176,None,,,,
26,[6_k_3_n_5_m_21.dimacs],0.0182,None,,,,
26,[6_k_3_n_5_m_22.dimacs],0.0191,None,,,,
26,[6_k_3_n_5_m_23.dimacs],0.019,None,,,,
26,[6_k_3_n_5_m_24.dimacs],0.0206,None,,,,
26,[7_k_3_n_5_m_10.dimacs],0.0181,None,,,,
26,[7_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","False,",False]
26,[7_k_3_n_5_m_12.dimacs],0.0001,"[True,","True,","True,","True,",True]
26,[7_k_3_n_5_m_13.dimacs],0.0001,"[True,","True,","True,","False,",False]
26,[7_k_3_n_5_m_14.dimacs],0.0181,None,,,,
26,[7_k_3_n_5_m_15.dimacs],0.0171,None,,,,
26,[7_k_3_n_5_m_16.dimacs],0.0178,None,,,,
26,[7_k_3_n_5_m_17.dimacs],0.0001,"[False,","True,","True,","False,",False]
26,[7_k_3_n_5_m_18.dimacs],0.0001,"[False,","False,","False,","False,",False]
26,[7_k_3_n_5_m_19.dimacs],0.0001,"[False,","False,","False,","True,",False]
26,[7_k_3_n_5_m_20.dimacs],0.0187,None,,,,
26,[7_k_3_n_5_m_21.dimacs],0.0182,"[True,","False,","False,","False,",False]
26,[7_k_3_n_5_m_22.dimacs],0.018,None,,,,
26,[7_k_3_n_5_m_23.dimacs],0.017,None,,,,
26,[7_k_3_n_5_m_24.dimacs],0.0181,None,,,,
26,[8_k_3_n_5_m_10.dimacs],0.0172,"[False,","False,","True,","False,",False]
26,[8_k_3_n_5_m_11.dimacs],0.0185,None,,,,
26,[8_k_3_n_5_m_12.dimacs],0.018,None,,,,
26,[8_k_3_n_5_m_13.dimacs],0.0173,None,,,,
26,[8_k_3_n_5_m_14.dimacs],0.0176,None,,,,
26,[8_k_3_n_5_m_15.dimacs],0.0173,None,,,,
26,[8_k_3_n_5_m_16.dimacs],0.023,None,,,,
26,[8_k_3_n_5_m_17.dimacs],0.0183,None,,,,
26,[8_k_3_n_5_m_18.dimacs],0.0177,None,,,,
26,[8_k_3_n_5_m_19.dimacs],0.0001,"[True,","False,","False,","True,",True]
26,[8_k_3_n_5_m_20.dimacs],0.0001,"[True,","True,","False,","False,",False]
26,[8_k_3_n_5_m_21.dimacs],0.0176,None,,,,
26,[8_k_3_n_5_m_22.dimacs],0.0175,None,,,,
26,[8_k_3_n_5_m_23.dimacs],0.019,None,,,,
26,[8_k_3_n_5_m_24.dimacs],0.018,None,,,,
26,[9_k_3_n_5_m_10.dimacs],0.0179,"[True,","True,","True,","False,",False]
26,[9_k_3_n_5_m_11.dimacs],0.0001,"[True,","True,","True,","False,",True]
26,[9_k_3_n_5_m_12.dimacs],0.0001,"[True,","True,","False,","False,",False]
26,[9_k_3_n_5_m_13.dimacs],0.0171,None,,,,
26,[9_k_3_n_5_m_14.dimacs],0.0173,None,,,,
26,[9_k_3_n_5_m_15.dimacs],0.0197,None,,,,
26,[9_k_3_n_5_m_16.dimacs],0.018,None,,,,
26,[9_k_3_n_5_m_17.dimacs],0.0181,None,,,,
26,[9_k_3_n_5_m_18.dimacs],0.0176,None,,,,
26,[9_k_3_n_5_m_19.dimacs],0.0177,None,,,,
26,[9_k_3_n_5_m_20.dimacs],0.0191,None,,,,
26,[9_k_3_n_5_m_21.dimacs],0.0176,None,,,,
26,[9_k_3_n_5_m_22.dimacs],0.0188,None,,,,
26,[9_k_3_n_5_m_23.dimacs],0.0185,None,,,,
26,[9_k_3_n_5_m_24.dimacs],0.0178,None,,,,
50,[0_k_3_n_5_m_10.dimacs],0.0001,"[False,","True,","False,","False,",False]
50,[0_k_3_n_5_m_11.dimacs],0.0192,None,,,,
50,[0_k_3_n_5_m_12.dimacs],0.0001,"[True,","True,","False,","True,",True]
50,[0_k_3_n_5_m_13.dimacs],0.0001,"[True,","True,","False,","True,",True]
50,[0_k_3_n_5_m_14.dimacs],0.0001,"[True,","True,","True,","True,",False]
50,[0_k_3_n_5_m_15.dimacs],0.0001,"[True,","True,","False,","True,",False]
50,[0_k_3_n_5_m_16.dimacs],0.0001,"[False,","True,","True,","False,",True]
50,[0_k_3_n_5_m_17.dimacs],0.0181,None,,,,
50,[0_k_3_n_5_m_18.dimacs],0.0175,None,,,,
50,[0_k_3_n_5_m_19.dimacs],0.0166,None,,,,
50,[0_k_3_n_5_m_20.dimacs],0.0183,None,,,,
50,[0_k_3_n_5_m_21.dimacs],0.0001,"[True,","False,","True,","False,",True]
50,[0_k_3_n_5_m_22.dimacs],0.0178,None,,,,
50,[0_k_3_n_5_m_23.dimacs],0.0177,"[False,","True,","False,","True,",False]
50,[0_k_3_n_5_m_24.dimacs],0.0168,None,,,,
50,[1_k_3_n_5_m_10.dimacs],0.0001,"[False,","False,","True,","True,",False]
50,[1_k_3_n_5_m_11.dimacs],0.0001,"[False,","False,","False,","False,",True]
50,[1_k_3_n_5_m_12.dimacs],0.0001,"[False,","False,","False,","True,",True]
50,[1_k_3_n_5_m_13.dimacs],0.0178,None,,,,
50,[1_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","False,","False,",False]
50,[1_k_3_n_5_m_15.dimacs],0.0001,"[False,","False,","True,","False,",False]
50,[1_k_3_n_5_m_16.dimacs],0.0168,None,,,,
50,[1_k_3_n_5_m_17.dimacs],0.0209,None,,,,
50,[1_k_3_n_5_m_18.dimacs],0.0226,None,,,,
50,[1_k_3_n_5_m_19.dimacs],0.0212,"[False,","True,","True,","False,",True]
50,[1_k_3_n_5_m_20.dimacs],0.0178,None,,,,
50,[1_k_3_n_5_m_21.dimacs],0.0187,None,,,,
50,[1_k_3_n_5_m_22.dimacs],0.0176,None,,,,
50,[1_k_3_n_5_m_23.dimacs],0.0173,None,,,,
50,[1_k_3_n_5_m_24.dimacs],0.0208,None,,,,
50,[2_k_3_n_5_m_10.dimacs],0.0185,None,,,,
50,[2_k_3_n_5_m_11.dimacs],0.0178,"[True,","False,","False,","False,",True]
50,[2_k_3_n_5_m_12.dimacs],0.0182,None,,,,
50,[2_k_3_n_5_m_13.dimacs],0.0174,None,,,,
50,[2_k_3_n_5_m_14.dimacs],0.0172,None,,,,
50,[2_k_3_n_5_m_15.dimacs],0.0174,None,,,,
50,[2_k_3_n_5_m_16.dimacs],0.0001,"[True,","True,","True,","True,",False]
50,[2_k_3_n_5_m_17.dimacs],0.019,None,,,,
50,[2_k_3_n_5_m_18.dimacs],0.0001,"[False,","False,","True,","False,",False]
50,[2_k_3_n_5_m_19.dimacs],0.0177,None,,,,
50,[2_k_3_n_5_m_20.dimacs],0.0176,None,,,,
50,[2_k_3_n_5_m_21.dimacs],0.0182,None,,,,
50,[2_k_3_n_5_m_22.dimacs],0.0179,None,,,,
50,[2_k_3_n_5_m_23.dimacs],0.0202,None,,,,
50,[2_k_3_n_5_m_24.dimacs],0.0177,None,,,,
50,[3_k_3_n_5_m_10.dimacs],0.0174,"[False,","True,","False,","True,",True]
50,[3_k_3_n_5_m_11.dimacs],0.0167,"[True,","True,","False,","False,",True]
50,[3_k_3_n_5_m_12.dimacs],0.0185,None,,,,
50,[3_k_3_n_5_m_13.dimacs],0.0177,None,,,,
50,[3_k_3_n_5_m_14.dimacs],0.0178,None,,,,
50,[3_k_3_n_5_m_15.dimacs],0.0001,"[False,","True,","False,","True,",True]
50,[3_k_3_n_5_m_16.dimacs],0.0001,"[True,","False,","True,","True,",False]
50,[3_k_3_n_5_m_17.dimacs],0.0001,"[True,","False,","True,","False,",True]
50,[3_k_3_n_5_m_18.dimacs],0.0001,"[True,","True,","True,","True,",False]
50,[3_k_3_n_5_m_19.dimacs],0.0173,None,,,,
50,[3_k_3_n_5_m_20.dimacs],0.0177,None,,,,
50,[3_k_3_n_5_m_21.dimacs],0.0174,None,,,,
50,[3_k_3_n_5_m_22.dimacs],0.0179,None,,,,
50,[3_k_3_n_5_m_23.dimacs],0.0001,"[True,","False,","True,","False,",False]
50,[3_k_3_n_5_m_24.dimacs],0.017,None,,,,
50,[4_k_3_n_5_m_10.dimacs],0.018,None,,,,
50,[4_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","False,",False]
50,[4_k_3_n_5_m_12.dimacs],0.0174,None,,,,
50,[4_k_3_n_5_m_13.dimacs],0.0177,"[False,","True,","True,","True,",True]
50,[4_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","True,","False,",False]
50,[4_k_3_n_5_m_15.dimacs],0.018,None,,,,
50,[4_k_3_n_5_m_16.dimacs],0.0197,None,,,,
50,[4_k_3_n_5_m_17.dimacs],0.0171,None,,,,
50,[4_k_3_n_5_m_18.dimacs],0.0172,"[True,","False,","False,","True,",True]
50,[4_k_3_n_5_m_19.dimacs],0.0001,"[False,","True,","False,","True,",True]
50,[4_k_3_n_5_m_20.dimacs],0.0001,"[True,","True,","False,","True,",True]
50,[4_k_3_n_5_m_21.dimacs],0.0184,None,,,,
50,[4_k_3_n_5_m_22.dimacs],0.0174,None,,,,
50,[4_k_3_n_5_m_23.dimacs],0.0176,None,,,,
50,[4_k_3_n_5_m_24.dimacs],0.0185,None,,,,
50,[5_k_3_n_5_m_10.dimacs],0.0192,"[True,","True,","True,","False,",False]
50,[5_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","False,",True]
50,[5_k_3_n_5_m_12.dimacs],0.0001,"[False,","False,","True,","False,",False]
50,[5_k_3_n_5_m_13.dimacs],0.0177,None,,,,
50,[5_k_3_n_5_m_14.dimacs],0.0177,"[True,","True,","True,","True,",True]
50,[5_k_3_n_5_m_15.dimacs],0.0002,"[False,","True,","False,","True,",False]
50,[5_k_3_n_5_m_16.dimacs],0.0194,None,,,,
50,[5_k_3_n_5_m_17.dimacs],0.0001,"[False,","False,","True,","False,",True]
50,[5_k_3_n_5_m_18.dimacs],0.0178,None,,,,
50,[5_k_3_n_5_m_19.dimacs],0.0174,None,,,,
50,[5_k_3_n_5_m_20.dimacs],0.0211,None,,,,
50,[5_k_3_n_5_m_21.dimacs],0.0188,None,,,,
50,[5_k_3_n_5_m_22.dimacs],0.0178,None,,,,
50,[5_k_3_n_5_m_23.dimacs],0.0001,"[True,","False,","False,","False,",False]
50,[5_k_3_n_5_m_24.dimacs],0.0199,None,,,,
50,[6_k_3_n_5_m_10.dimacs],0.019,"[False,","True,","True,","True,",True]
50,[6_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","True,",True]
50,[6_k_3_n_5_m_12.dimacs],0.0175,None,,,,
50,[6_k_3_n_5_m_13.dimacs],0.0001,"[False,","True,","True,","False,",True]
50,[6_k_3_n_5_m_14.dimacs],0.0001,"[False,","False,","False,","True,",False]
50,[6_k_3_n_5_m_15.dimacs],0.0181,None,,,,
50,[6_k_3_n_5_m_16.dimacs],0.0196,None,,,,
50,[6_k_3_n_5_m_17.dimacs],0.0001,"[False,","True,","True,","False,",False]
50,[6_k_3_n_5_m_18.dimacs],0.0177,None,,,,
50,[6_k_3_n_5_m_19.dimacs],0.0243,None,,,,
50,[6_k_3_n_5_m_20.dimacs],0.018,None,,,,
50,[6_k_3_n_5_m_21.dimacs],0.0178,None,,,,
50,[6_k_3_n_5_m_22.dimacs],0.017,None,,,,
