iterations,dimacs,runtime,solution,,,,
50,[6_k_3_n_5_m_23.dimacs],0.0179,None,,,,
50,[6_k_3_n_5_m_24.dimacs],0.0175,None,,,,
50,[7_k_3_n_5_m_10.dimacs],0.0169,None,,,,
50,[7_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","False,",False]
50,[7_k_3_n_5_m_12.dimacs],0.0187,"[True,","True,","True,","True,",True]
50,[7_k_3_n_5_m_13.dimacs],0.0001,"[True,","True,","True,","False,",False]
50,[7_k_3_n_5_m_14.dimacs],0.0173,None,,,,
50,[7_k_3_n_5_m_15.dimacs],0.0168,"[True,","False,","False,","True,",True]
50,[7_k_3_n_5_m_16.dimacs],0.0176,None,,,,
50,[7_k_3_n_5_m_17.dimacs],0.0001,"[False,","True,","True,","False,",False]
50,[7_k_3_n_5_m_18.dimacs],0.0001,"[False,","False,","False,","False,",False]
50,[7_k_3_n_5_m_19.dimacs],0.0001,"[False,","False,","False,","True,",False]
50,[7_k_3_n_5_m_20.dimacs],0.0189,None,,,,
50,[7_k_3_n_5_m_21.dimacs],0.0187,"[True,","False,","False,","False,",False]
50,[7_k_3_n_5_m_22.dimacs],0.0189,None,,,,
50,[7_k_3_n_5_m_23.dimacs],0.0182,None,,,,
50,[7_k_3_n_5_m_24.dimacs],0.0184,None,,,,
50,[8_k_3_n_5_m_10.dimacs],0.0193,"[False,","False,","True,","False,",False]
50,[8_k_3_n_5_m_11.dimacs],0.0194,None,,,,
50,[8_k_3_n_5_m_12.dimacs],0.0179,None,,,,
50,[8_k_3_n_5_m_13.dimacs],0.0001,"[True,","False,","True,","True,",False]
50,[8_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","False,","False,",False]
50,[8_k_3_n_5_m_15.dimacs],0.018,None,,,,
50,[8_k_3_n_5_m_16.dimacs],0.0187,None,,,,
50,[8_k_3_n_5_m_17.dimacs],0.018,None,,,,
50,[8_k_3_n_5_m_18.dimacs],0.0177,None,,,,
50,[8_k_3_n_5_m_19.dimacs],0.0001,"[True,","False,","False,","True,",True]
50,[8_k_3_n_5_m_20.dimacs],0.0001,"[True,","True,","False,","False,",False]
50,[8_k_3_n_5_m_21.dimacs],0.0177,None,,,,
50,[8_k_3_n_5_m_22.dimacs],0.0172,None,,,,
50,[8_k_3_n_5_m_23.dimacs],0.0215,None,,,,
50,[8_k_3_n_5_m_24.dimacs],0.0185,None,,,,
50,[9_k_3_n_5_m_10.dimacs],0.0183,"[True,","True,","True,","False,",False]
50,[9_k_3_n_5_m_11.dimacs],0.0001,"[True,","True,","True,","False,",True]
50,[9_k_3_n_5_m_12.dimacs],0.0185,"[False,","True,","False,","False,",False]
50,[9_k_3_n_5_m_13.dimacs],0.0179,None,,,,
50,[9_k_3_n_5_m_14.dimacs],0.0184,None,,,,
50,[9_k_3_n_5_m_15.dimacs],0.0176,None,,,,
50,[9_k_3_n_5_m_16.dimacs],0.0189,None,,,,
50,[9_k_3_n_5_m_17.dimacs],0.0189,None,,,,
50,[9_k_3_n_5_m_18.dimacs],0.018,None,,,,
50,[9_k_3_n_5_m_19.dimacs],0.0182,None,,,,
50,[9_k_3_n_5_m_20.dimacs],0.0172,None,,,,
50,[9_k_3_n_5_m_21.dimacs],0.0178,None,,,,
50,[9_k_3_n_5_m_22.dimacs],0.0181,None,,,,
50,[9_k_3_n_5_m_23.dimacs],0.0182,None,,,,
50,[9_k_3_n_5_m_24.dimacs],0.0178,None,,,,
100,[0_k_3_n_5_m_10.dimacs],0.0002,"[False,","True,","False,","False,",False]
100,[0_k_3_n_5_m_11.dimacs],0.0199,None,,,,
100,[0_k_3_n_5_m_12.dimacs],0.0001,"[True,","True,","False,","True,",True]
100,[0_k_3_n_5_m_13.dimacs],0.0001,"[True,","True,","False,","True,",True]
100,[0_k_3_n_5_m_14.dimacs],0.0001,"[True,","True,","True,","True,",False]
100,[0_k_3_n_5_m_15.dimacs],0.0001,"[True,","True,","False,","True,",False]
100,[0_k_3_n_5_m_16.dimacs],0.0001,"[False,","True,","True,","False,",True]
100,[0_k_3_n_5_m_17.dimacs],0.0183,None,,,,
100,[0_k_3_n_5_m_18.dimacs],0.0178,None,,,,
100,[0_k_3_n_5_m_19.dimacs],0.0185,None,,,,
100,[0_k_3_n_5_m_20.dimacs],0.0182,None,,,,
100,[0_k_3_n_5_m_21.dimacs],0.0001,"[True,","False,","True,","False,",True]
100,[0_k_3_n_5_m_22.dimacs],0.0183,None,,,,
100,[0_k_3_n_5_m_23.dimacs],0.0173,"[False,","True,","False,","True,",False]
100,[0_k_3_n_5_m_24.dimacs],0.0174,None,,,,
100,[1_k_3_n_5_m_10.dimacs],0.0001,"[False,","False,","True,","True,",False]
100,[1_k_3_n_5_m_11.dimacs],0.0001,"[False,","False,","False,","False,",True]
100,[1_k_3_n_5_m_12.dimacs],0.0001,"[False,","False,","False,","True,",True]
100,[1_k_3_n_5_m_13.dimacs],0.0178,None,,,,
100,[1_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","False,","False,",False]
100,[1_k_3_n_5_m_15.dimacs],0.0001,"[False,","False,","True,","False,",False]
100,[1_k_3_n_5_m_16.dimacs],0.0175,None,,,,
100,[1_k_3_n_5_m_17.dimacs],0.0194,None,,,,
100,[1_k_3_n_5_m_18.dimacs],0.0174,None,,,,
100,[1_k_3_n_5_m_19.dimacs],0.017,"[False,","True,","True,","False,",True]
100,[1_k_3_n_5_m_20.dimacs],0.0173,None,,,,
100,[1_k_3_n_5_m_21.dimacs],0.018,None,,,,
100,[1_k_3_n_5_m_22.dimacs],0.0175,None,,,,
100,[1_k_3_n_5_m_23.dimacs],0.0171,None,,,,
100,[1_k_3_n_5_m_24.dimacs],0.0195,None,,,,
100,[2_k_3_n_5_m_10.dimacs],0.0189,None,,,,
100,[2_k_3_n_5_m_11.dimacs],0.0174,"[True,","False,","False,","False,",True]
100,[2_k_3_n_5_m_12.dimacs],0.0001,"[False,","True,","False,","True,",True]
100,[2_k_3_n_5_m_13.dimacs],0.0169,None,,,,
100,[2_k_3_n_5_m_14.dimacs],0.0172,None,,,,
100,[2_k_3_n_5_m_15.dimacs],0.0171,None,,,,
100,[2_k_3_n_5_m_16.dimacs],0.0001,"[True,","True,","True,","True,",False]
100,[2_k_3_n_5_m_17.dimacs],0.0186,None,,,,
100,[2_k_3_n_5_m_18.dimacs],0.0001,"[False,","False,","True,","False,",False]
100,[2_k_3_n_5_m_19.dimacs],0.018,None,,,,
100,[2_k_3_n_5_m_20.dimacs],0.0207,None,,,,
100,[2_k_3_n_5_m_21.dimacs],0.0204,None,,,,
100,[2_k_3_n_5_m_22.dimacs],0.0174,None,,,,
100,[2_k_3_n_5_m_23.dimacs],0.0194,None,,,,
100,[2_k_3_n_5_m_24.dimacs],0.0175,None,,,,
100,[3_k_3_n_5_m_10.dimacs],0.0173,"[False,","True,","False,","True,",True]
100,[3_k_3_n_5_m_11.dimacs],0.017,"[True,","True,","False,","False,",True]
100,[3_k_3_n_5_m_12.dimacs],0.0171,None,,,,
100,[3_k_3_n_5_m_13.dimacs],0.0179,None,,,,
100,[3_k_3_n_5_m_14.dimacs],0.0166,None,,,,
100,[3_k_3_n_5_m_15.dimacs],0.0001,"[False,","True,","False,","True,",True]
100,[3_k_3_n_5_m_16.dimacs],0.0001,"[True,","False,","True,","True,",False]
100,[3_k_3_n_5_m_17.dimacs],0.0001,"[True,","False,","False,","False,",True]
100,[3_k_3_n_5_m_18.dimacs],0.0001,"[True,","True,","True,","True,",False]
100,[3_k_3_n_5_m_19.dimacs],0.0173,None,,,,
100,[3_k_3_n_5_m_20.dimacs],0.017,None,,,,
100,[3_k_3_n_5_m_21.dimacs],0.0172,None,,,,
100,[3_k_3_n_5_m_22.dimacs],0.0171,None,,,,
100,[3_k_3_n_5_m_23.dimacs],0.0001,"[True,","False,","True,","False,",False]
100,[3_k_3_n_5_m_24.dimacs],0.0172,None,,,,
100,[4_k_3_n_5_m_10.dimacs],0.0001,"[True,","True,","True,","True,",False]
100,[4_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","False,",False]
100,[4_k_3_n_5_m_12.dimacs],0.0172,None,,,,
100,[4_k_3_n_5_m_13.dimacs],0.0171,"[False,","True,","True,","True,",True]
100,[4_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","True,","False,",False]
100,[4_k_3_n_5_m_15.dimacs],0.0171,None,,,,
100,[4_k_3_n_5_m_16.dimacs],0.0195,None,,,,
100,[4_k_3_n_5_m_17.dimacs],0.017,None,,,,
100,[4_k_3_n_5_m_18.dimacs],0.0184,"[True,","False,","False,","True,",True]
100,[4_k_3_n_5_m_19.dimacs],0.0001,"[False,","True,","False,","True,",True]
100,[4_k_3_n_5_m_20.dimacs],0.0001,"[True,","True,","False,","True,",True]
100,[4_k_3_n_5_m_21.dimacs],0.0188,None,,,,
100,[4_k_3_n_5_m_22.dimacs],0.0177,None,,,,
100,[4_k_3_n_5_m_23.dimacs],0.0172,None,,,,
100,[4_k_3_n_5_m_24.dimacs],0.0194,None,,,,
100,[5_k_3_n_5_m_10.dimacs],0.019,"[True,","True,","True,","False,",False]
100,[5_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","False,",True]
100,[5_k_3_n_5_m_12.dimacs],0.0001,"[False,","False,","True,","False,",False]
100,[5_k_3_n_5_m_13.dimacs],0.0172,None,,,,
100,[5_k_3_n_5_m_14.dimacs],0.0172,"[True,","True,","True,","True,",True]
100,[5_k_3_n_5_m_15.dimacs],0.0001,"[False,","True,","False,","True,",False]
100,[5_k_3_n_5_m_16.dimacs],0.0181,None,,,,
100,[5_k_3_n_5_m_17.dimacs],0.0001,"[False,","False,","True,","False,",True]
100,[5_k_3_n_5_m_18.dimacs],0.0185,None,,,,
100,[5_k_3_n_5_m_19.dimacs],0.0173,None,,,,
100,[5_k_3_n_5_m_20.dimacs],0.0183,None,,,,
100,[5_k_3_n_5_m_21.dimacs],0.0175,None,,,,
100,[5_k_3_n_5_m_22.dimacs],0.0188,None,,,,
100,[5_k_3_n_5_m_23.dimacs],0.0001,"[True,","False,","False,","False,",False]
100,[5_k_3_n_5_m_24.dimacs],0.0208,None,,,,
100,[6_k_3_n_5_m_10.dimacs],0.0179,"[False,","True,","True,","True,",True]
100,[6_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","True,",True]
100,[6_k_3_n_5_m_12.dimacs],0.0172,None,,,,
100,[6_k_3_n_5_m_13.dimacs],0.0001,"[False,","True,","True,","False,",True]
100,[6_k_3_n_5_m_14.dimacs],0.0001,"[False,","False,","False,","True,",False]
100,[6_k_3_n_5_m_15.dimacs],0.0174,None,,,,
100,[6_k_3_n_5_m_16.dimacs],0.019,None,,,,
100,[6_k_3_n_5_m_17.dimacs],0.0001,"[False,","True,","True,","False,",False]
100,[6_k_3_n_5_m_18.dimacs],0.0177,None,,,,
100,[6_k_3_n_5_m_19.dimacs],0.0176,None,,,,
100,[6_k_3_n_5_m_20.dimacs],0.017,None,,,,
100,[6_k_3_n_5_m_21.dimacs],0.0182,None,,,,
100,[6_k_3_n_5_m_22.dimacs],0.0172,None,,,,
100,[6_k_3_n_5_m_23.dimacs],0.018,None,,,,
100,[6_k_3_n_5_m_24.dimacs],0.0175,None,,,,
100,[7_k_3_n_5_m_10.dimacs],0.017,None,,,,
100,[7_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","False,",False]
100,[7_k_3_n_5_m_12.dimacs],0.0188,"[True,","True,","True,","True,",True]
100,[7_k_3_n_5_m_13.dimacs],0.0001,"[True,","True,","True,","False,",False]
100,[7_k_3_n_5_m_14.dimacs],0.0174,None,,,,
100,[7_k_3_n_5_m_15.dimacs],0.017,"[True,","False,","False,","True,",True]
100,[7_k_3_n_5_m_16.dimacs],0.0182,None,,,,
100,[7_k_3_n_5_m_17.dimacs],0.0001,"[False,","True,","True,","False,",False]
100,[7_k_3_n_5_m_18.dimacs],0.0001,"[False,","False,","False,","False,",False]
100,[7_k_3_n_5_m_19.dimacs],0.0001,"[False,","False,","False,","True,",False]
100,[7_k_3_n_5_m_20.dimacs],0.02,None,,,,
100,[7_k_3_n_5_m_21.dimacs],0.0193,"[True,","False,","False,","False,",False]
100,[7_k_3_n_5_m_22.dimacs],0.0175,None,,,,
100,[7_k_3_n_5_m_23.dimacs],0.0176,None,,,,
100,[7_k_3_n_5_m_24.dimacs],0.0185,None,,,,
100,[8_k_3_n_5_m_10.dimacs],0.0183,"[False,","False,","True,","False,",False]
100,[8_k_3_n_5_m_11.dimacs],0.0241,None,,,,
100,[8_k_3_n_5_m_12.dimacs],0.0184,None,,,,
100,[8_k_3_n_5_m_13.dimacs],0.0001,"[True,","False,","True,","True,",False]
100,[8_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","False,","False,",False]
100,[8_k_3_n_5_m_15.dimacs],0.018,None,,,,
100,[8_k_3_n_5_m_16.dimacs],0.0175,None,,,,
100,[8_k_3_n_5_m_17.dimacs],0.0171,None,,,,
100,[8_k_3_n_5_m_18.dimacs],0.0175,None,,,,
100,[8_k_3_n_5_m_19.dimacs],0.0001,"[True,","False,","False,","True,",True]
100,[8_k_3_n_5_m_20.dimacs],0.0001,"[True,","True,","False,","False,",False]
100,[8_k_3_n_5_m_21.dimacs],0.0173,None,,,,
100,[8_k_3_n_5_m_22.dimacs],0.017,None,,,,
100,[8_k_3_n_5_m_23.dimacs],0.0186,None,,,,
100,[8_k_3_n_5_m_24.dimacs],0.0174,None,,,,
100,[9_k_3_n_5_m_10.dimacs],0.018,"[True,","True,","True,","False,",False]
100,[9_k_3_n_5_m_11.dimacs],0.0001,"[True,","True,","True,","False,",True]
100,[9_k_3_n_5_m_12.dimacs],0.0168,None,,,,
100,[9_k_3_n_5_m_13.dimacs],0.0174,None,,,,
100,[9_k_3_n_5_m_14.dimacs],0.0177,None,,,,
100,[9_k_3_n_5_m_15.dimacs],0.0175,None,,,,
100,[9_k_3_n_5_m_16.dimacs],0.0202,None,,,,
100,[9_k_3_n_5_m_17.dimacs],0.0175,None,,,,
100,[9_k_3_n_5_m_18.dimacs],0.0165,None,,,,
100,[9_k_3_n_5_m_19.dimacs],0.0175,None,,,,
100,[9_k_3_n_5_m_20.dimacs],0.0183,None,,,,
100,[9_k_3_n_5_m_21.dimacs],0.0187,None,,,,
100,[9_k_3_n_5_m_22.dimacs],0.0182,None,,,,
100,[9_k_3_n_5_m_23.dimacs],0.0182,None,,,,
100,[9_k_3_n_5_m_24.dimacs],0.0183,None,,,,
200,[0_k_3_n_5_m_10.dimacs],0.0001,"[False,","True,","False,","False,",False]
200,[0_k_3_n_5_m_11.dimacs],0.0191,None,,,,
200,[0_k_3_n_5_m_12.dimacs],0.0001,"[True,","True,","False,","True,",True]
200,[0_k_3_n_5_m_13.dimacs],0.0001,"[True,","True,","False,","True,",True]
200,[0_k_3_n_5_m_14.dimacs],0.0001,"[True,","True,","True,","True,",False]
200,[0_k_3_n_5_m_15.dimacs],0.0001,"[True,","True,","False,","True,",False]
200,[0_k_3_n_5_m_16.dimacs],0.0001,"[False,","True,","True,","False,",True]
200,[0_k_3_n_5_m_17.dimacs],0.0175,None,,,,
200,[0_k_3_n_5_m_18.dimacs],0.0171,None,,,,
200,[0_k_3_n_5_m_19.dimacs],0.0173,None,,,,
200,[0_k_3_n_5_m_20.dimacs],0.018,None,,,,
200,[0_k_3_n_5_m_21.dimacs],0.0001,"[True,","False,","True,","False,",True]
200,[0_k_3_n_5_m_22.dimacs],0.0179,None,,,,
200,[0_k_3_n_5_m_23.dimacs],0.018,"[False,","True,","False,","True,",False]
200,[0_k_3_n_5_m_24.dimacs],0.017,None,,,,
200,[1_k_3_n_5_m_10.dimacs],0.0001,"[False,","False,","True,","True,",False]
200,[1_k_3_n_5_m_11.dimacs],0.0001,"[False,","False,","False,","False,",True]
200,[1_k_3_n_5_m_12.dimacs],0.0001,"[False,","False,","False,","True,",True]
200,[1_k_3_n_5_m_13.dimacs],0.0172,None,,,,
200,[1_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","False,","False,",False]
200,[1_k_3_n_5_m_15.dimacs],0.0001,"[False,","False,","True,","False,",False]
200,[1_k_3_n_5_m_16.dimacs],0.0175,None,,,,
200,[1_k_3_n_5_m_17.dimacs],0.0189,None,,,,
200,[1_k_3_n_5_m_18.dimacs],0.017,None,,,,
200,[1_k_3_n_5_m_19.dimacs],0.017,"[False,","True,","True,","False,",True]
200,[1_k_3_n_5_m_20.dimacs],0.0171,None,,,,
200,[1_k_3_n_5_m_21.dimacs],0.0179,None,,,,
200,[1_k_3_n_5_m_22.dimacs],0.0191,None,,,,
200,[1_k_3_n_5_m_23.dimacs],0.0175,None,,,,
200,[1_k_3_n_5_m_24.dimacs],0.0192,None,,,,
200,[2_k_3_n_5_m_10.dimacs],0.0185,None,,,,
200,[2_k_3_n_5_m_11.dimacs],0.0177,"[True,","False,","False,","False,",True]
200,[2_k_3_n_5_m_12.dimacs],0.0001,"[False,","True,","False,","True,",True]
200,[2_k_3_n_5_m_13.dimacs],0.0169,None,,,,
200,[2_k_3_n_5_m_14.dimacs],0.0168,None,,,,
200,[2_k_3_n_5_m_15.dimacs],0.017,None,,,,
200,[2_k_3_n_5_m_16.dimacs],0.0001,"[True,","True,","True,","True,",False]
200,[2_k_3_n_5_m_17.dimacs],0.0187,None,,,,
200,[2_k_3_n_5_m_18.dimacs],0.0001,"[False,","False,","True,","False,",False]
200,[2_k_3_n_5_m_19.dimacs],0.0179,None,,,,
200,[2_k_3_n_5_m_20.dimacs],0.0169,None,,,,
200,[2_k_3_n_5_m_21.dimacs],0.0178,None,,,,
200,[2_k_3_n_5_m_22.dimacs],0.0169,None,,,,
200,[2_k_3_n_5_m_23.dimacs],0.0194,None,,,,
200,[2_k_3_n_5_m_24.dimacs],0.024,None,,,,
200,[3_k_3_n_5_m_10.dimacs],0.0168,"[False,","True,","False,","True,",True]
200,[3_k_3_n_5_m_11.dimacs],0.0169,"[True,","True,","False,","False,",True]
200,[3_k_3_n_5_m_12.dimacs],0.0172,None,,,,
200,[3_k_3_n_5_m_13.dimacs],0.0175,None,,,,
200,[3_k_3_n_5_m_14.dimacs],0.0166,None,,,,
200,[3_k_3_n_5_m_15.dimacs],0.0001,"[False,","True,","False,","True,",True]
